# Pinned downstream interoperability corpus: 31 formulae and 41 casks.
# Includes every brew/brew-cask root in active profiles plus the one-at-a-time
# optional cask catalog. Manual and Mac App Store entries are outside scope.
# kind token version canonical-api-sha256
cask plex-media-server 1.43.3.10896,cb3ebc72d e3158f6216aa93a4ab07b4f90da447df285f2776b29c7390c72ab8e390ea1180
cask sketch 2026.2.1,231087 e4e708e5e9324d81a90cc0c4379f3bfc08c1d68131ee8586eb3f0868ddb95598
cask obsidian 1.13.7 734f315024c2667e092b75edc4f7ea0d16692f8cdfc0d03717e87a49796c82b4
cask sublime-text 4200 ef679312ae564b9856d8055a46114e32c9833f7dbaee2ad7ec84b4036e2a83ff
cask superwhisper 2.18.1 87ad654e70751955fd20eeae943681af62a3d82d7adf8bd05c017ab8f45e978b
cask surge 6.8.1,12030,69f4be88db9663476f31a6b264109f0b 0fb4149cc488687d0cb8a720cbaf77dfa13910aa03fee77bc38154cb3148a2e2
cask tableplus 26.9.6,762 af5d8b2c92c5621d20467069c0ae1827a552344b3478fa0950a972b9b397aa2f
cask tor-browser 15.0.20 d95c12e417d0b0cd81d04cec2d7b943a12f4387b7fd17e11109cbc05fbf3fe6c
cask transmission 4.1.3 d10996b4b17b3d9379605232cf5fc4aabc4d57353acaf0c494f61cf789ae1591
cask visualvm 2.2.1 69b66cb7cc3d8951b0ac8d098016a126e5eb1c87c12ee0923f61a4bb48868d3c
cask vlc 3.0.23 d2006154048a8f146edf3f4827019e42deb7f82e03eb954c82d9d9ea0311dcd5
cask yaak 2026.5.0 bd15089ef073e10a7b9b35be5794c59d3361b5191ae8ee513b060414b0946efc
cask zed@preview 1.17.0 012ff9f2bec49e7a371f12b53b5281a813bf3cdc9fafd26792cc4d2ff559b881
cask zoom 7.1.5.84650 99bbf3dea0677e8e6418bdf247ea16443a50402af7194d84f4e81fcb3bf56492
cask visual-studio-code 1.134.0 c8079385da78f62d3fb86d31f19dca7b4192377a881c98359cc06a177bc591cd
cask firefox@developer-edition 155.0b3 716314b42f15363b37458c95d7da0a0e43c18c50a18da71339cd3758d60be37b
cask raindropio 5.7.9 5f2d07a2cdbcca47ea4b745855713adf59148dc50b8ac901d52f4bd17a186530
cask tunnelblick 8.0.3,6303 445cc1c2278303c51b723795d273ba3b07af2a712e4903606a8881eb946a2b6b
